,platform1,platform2,name1,artist1,name2,artist2,same,ml guess
0,amazon,youtube,QHS,Tendon Levey,Catch The Cough,Tendon Levey,,
1,amazon,youtube,In For It [feat. RL Grime],Tory Lanez feat. RL Grime,In For It (feat. RL Grime),Tory Lanez,,
2,amazon,youtube,F H P,QDOGTV762 feat. Quintin Ward,F H P (feat. Quintin Ward),QDOGTV762,,
3,amazon,youtube,Soundeffekte,Halloween Kids & Halloween,Halloween Sound Effects Party (Horror) [Scary],Halloween Sounds,,
4,spotify,amazon,Outside (feat. Ellie Goulding),Calvin Harris,Outside,Calvin Harris feat. Ellie Goulding,,
5,spotify,amazon,X.U.（short ver.）,SawanoHiroyuki[nZk],X.U.,SawanoHiroyuki[nZk] feat. Gemie,,
